?shelfmark	?item	?manifestation	?bundle	?subject	?score	?prov
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/z/mat>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/rvk/QV000>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/rvk/QV200>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/sdnb/18>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/bkl/83.13>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/bkl/83.14>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<https://d-nb.info/gnd/4002737-5>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/ddc/17>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/sfb/SOP780>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<https://d-nb.info/gnd/4122827-3>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/BISAC/BUS069000>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/BISAC/POL024000>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/rvk/QC310>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/sdnb/17>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/sdnb/9.4a>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<https://d-nb.info/gnd/4322126-9>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/sdnb/330>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<http://data.ub.tu-dortmund.de/resource/sswd/9.4a>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<https://d-nb.info/gnd/4002730-2>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<https://d-nb.info/gnd/4002733-8>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<https://d-nb.info/gnd/4112565-4>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<https://d-nb.info/gnd/4184470-1>		
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<https://d-nb.info/gnd/4002730-2>	0.06402	maschinell gebildet
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<https://d-nb.info/gnd/4002733-8>	0.07572	maschinell gebildet
F 73317	<http://data.ub.tu-dortmund.de/resources/item:10648006>	<http://lobid.org/resources/HT011238108>	<http://data.ub.tu-dortmund.de/resource/cg/wrk_bundle/CG_4995116>	<https://d-nb.info/gnd/4002737-5>	0.10497	maschinell gebildet
